the_geom,OBJECTID,CSO ID,Structure Type,Street Name,Location Description,Receiving Water,Sewer District,Council District,CSO Map Sheet,Comments,GlobalID
POINT (-78.900995280962 42.919035695356),30,009,Leaping Weir,Auburn Ave,"Auburn Ave extended to Black Rock Canal, OF Chamber in Auburn Ave at Thruway",Black Rock Canal,Black Rock,2,CSOMapBookSheet4.pdf,Flag - No Connection to current system,{EF71A43E-D8E8-4802-8D7D-524109DE43A7}
POINT (-78.898989944498 42.926081948948),22,004,Leaping Weir,Bird Ave,Bird Ave extended to Black Rock canal OF Chamber center Niagara St,Black Rock Canal,Bird Ave,2,CSOMapBookSheet3.pdf,,{3E1EFC0A-EE46-43FE-949C-90E8D3EC620E}
POINT (-78.903156685133 42.913276017453),31,011,Weir & Orifice,Bird Island Peir,"Outlet West Wall of Bird Isl, OF Chamber at Ft of Albany St",Niagara River,Albany St,2,CSOMapBookSheet4.pdf,,{D214743B-B3CF-4E0C-88CF-23AD004BD764}
POINT (-78.893473936268 42.889005861012),36,013,Weir & Orifice,Virginia St,"Virginia St Extended to Buffalo Harbor, OF Chamber in Virginia at Busti",Buffalo Harbor,Central,1,CSOMapBookSheet5.pdf,,{384FE522-10EE-4839-B349-05846B6411CD}
POINT (-78.909797982111 42.952112794967),15,054,Manhole,Crowley Ave,"Crowley Ave extended to Niagara River OF 18"" Dia at Niagara St",Buffalo River,Ontario St,6,CSOMapBookSheet2.pdf,,{FD363310-27B0-4708-88E4-BA2F0E93443D}
POINT (-78.860503847653 42.863905938638),43,025,Manhole,Hamburg St,"Outlet at Hamburg St ext. into Buffalo River,Int. chamber at Hamburg & South",Buffalo River,Hamburg - Smith,9,CSOMapBookSheet9.pdf,,{B2D3E359-F6CD-405D-9A60-C47E3B8CB2CC}
POINT (-78.83252252243 42.860299244449),21,028,Manhole,Boone St,West outlet at Boone St extended to Buffalo River,Buffalo River,Southern,4,CSOMapBookSheet13.pdf,,{06FEF173-140A-4EDC-B3E8-4B3197314432}
POINT (-78.824662871596 42.86003308809),49,048,Weir & Orifice,Bailey Ave,Outlet east of Bailey Ave into the south side of Cazenovia Creek,Cazenovia Creek,Southern,5,CSOMapBookSheet12.pdf,,{1ED09F75-B11D-4AEE-B986-B79DF7ADF17C}
POINT (-78.811161323107 42.852139710857),7,037,Manhole,Salem St,Outlet on Salem St extended to south side of Cazenovia Creek,Cazenovia Creek,Abbott Rd & Seneca St,5,CSOMapBookSheet16.pdf,,{17254952-223E-433D-B953-C145578FE5EE}
POINT (-78.822620874861 42.859397749098),50,047,Weir & Orifice,Southside Pkwy,Outlet at Southside Pkwy into the South side of Cazenovia Creek,Cazenovia Creek,Southern,5,CSOMapBookSheet12.pdf,,{78550163-7867-456D-922B-39BED431DF01}
POINT (-78.878174512326 42.934338000707),12,060,Weir,Elmwood Ave,Elmwood Ave Under 198 Ramp into Scajaquada,Scajaquada Creek,Hertel Ave,6,CSOMapBookSheet17.pdf,,{A0E1394E-2E4F-457D-886B-1CAD111C8E21}
POINT (-78.814075813222 42.855008332649),3,042,Manhole,S Ryan St,"Outlet on S Ryan, extended to North side of Cazenovia Creek",Cazenovia Creek,Abbott Rd & Seneca St,5,CSOMapBookSheet16.pdf,,{2B22AAC9-D16F-4BE1-8655-FFD010AEBF77}
POINT (-78.867900256118 42.866621737489),17,023,Manhole,Ohio St,"Outlet in Wabash St, ext. into open channel.  Overflow MH in Ohio St at Chicago",Buffalo River,Hamburg - Smith,9,CSOMapBookSheet9.pdf,,{B83DD290-7DAA-40A4-B783-2CC23AEB41CB}
POINT (-78.856880700242 42.923713047315),14,053,Weir,Main St,Scajaquada Creek outlet to Scajaquada Creek Forest lawn Cemetery,Scajaquada Creek,Hertel Ave,7,CSOMapBookSheet18.pdf,,{B0679A09-8593-4997-996A-EC45F3CAF6F9}
POINT (-78.896002443594 42.930316559235),24,058,Weir,West Ave,Tonawanda Street to West Avenue extended to Scajaquada,Scajaquada Creek,Parish Tract & Forest Ave,6,CSOMapBookSheet3.pdf,,{D86CD357-9544-4FF3-B9D3-6CF386F7865B}
POINT (-78.802351700133 42.864536528345),9,052,Weir & Orifice,S Ogden St,Outlet on S Ogden at Buffalo RIver South Bank,Buffalo River,Bailey Ave (South),4,CSOMapBookSheet14.pdf,,{A6EC164E-E3BC-43F0-B8C7-393CB74315BE}
POINT (-78.826879654607 42.86131283039),48,049,Weir & Orifice,Bailey Ave,Outlet along the North bank of Cazenovia Creek extended into the Buffalo River,Buffalo River,Southern,4,CSOMapBookSheet12.pdf,,{3102B6D3-E6A8-4B9A-BB96-9D313556DD17}
POINT (-78.812601512166 42.853930066219),4,040,Manhole,Yale Pl,Outlet on Yale extended to North side of Cazenovia Creek,Cazenovia Creek,Abbott Rd & Seneca St,5,CSOMapBookSheet16.pdf,,{36FD97E5-F838-4B7A-A53F-E9FD2AC24E93}
POINT (-78.850832291205 42.863121045115),44,026,Unk,Smith St,"Outlet at Smith St extended to Buffalo River, Overflow chambers and manhole",Buffalo River,Southern,4,CSOMapBookSheet9.pdf,,{0565C705-4C63-4362-A116-02F1C0AB6C7E}
POINT (-78.901289702492 42.917427128422),34,010,Leaping Weir,Breckenridge St,Breckenridge St ext. to Black Rock Canal OF Chamber in Breckenridge near Thruway,Black Rock Canal,Black Rock,2,CSOMapBookSheet4.pdf,,{5C372AAE-8D28-420C-87DF-055A068B5FC9}
POINT (-78.876073680272 42.934766605668),13,056,Weir,Nottingham Terrace,Nottingham Terrace to South of Historical Building,Scajaquada Creek,Hertel Ave,6,CSOMapBookSheet17.pdf,,{5FD4F6BC-B37D-49D4-AD80-418DC639F5A3}
POINT (-78.899614921028 42.922337882591),27,006,Weir & Orifice,W Delavan Ave,W Delavan Ave extended to Black Rock Canal OF Chamber in W Delavan,Black Rock Canal,Black Rock,2,CSOMapBookSheet4.pdf,,{AB8A150C-2D00-4E32-95F4-30C3E5AE56C2}
POINT (-78.893910399053 42.930972902051),25,059,Weir,Dewitt St,Dewitt St North of Bradley into South bank of Scajaquada,Scajaquada Creek,Parish Tract & Forest Ave,6,CSOMapBookSheet3.pdf,,{8321C473-9AA1-4169-B722-1D2C2000A7D7}
POINT (-78.888755274236 42.884643515566),37,014,Manhole,Wilkeson St,Wilkeson Extended to Erie Basin slip 3 OF Chamber in 4th St at Georgia,Erie Basin Slip 3,Central,1,CSOMapBookSheet6.pdf,,{EBCEE4D3-A7A5-437F-8D8C-8EE60DDDE5F3}
POINT (-78.83247527008 42.860289172891),47,029,Manhole,Boone St,East outlet at Boone St extended to Buffalo River,Buffalo River,Southern,4,CSOMapBookSheet13.pdf,,{43127A3F-46D2-4C74-9850-4312D9D0EB7E}
